,Name,Native,nonnative,Fresh,salt
112,Bluespotted ribbontail ray,empty,check,empty,check
113,Blue-spotted sunfish,check,empty,check,empty
114,Bluntnose sixgill shark,check,empty,empty,check
115,Bluntnose stingray,check,empty,empty,check
116,Bonefish,check,empty,empty,check
117,Bonnethead,check,empty,empty,check
118,Bowfin,check,empty,check,empty
119,Bridled burrfish,check,empty,empty,check
120,Broad-striped anchovy,check,empty,empty,check
121,Brook silverside,check,empty,check,empty
122,Brown Bullhead,check,empty,check,empty
123,Brown chromis,check,empty,empty,check
124,Brown garden eel,check,empty,empty,check
125,Brown hoplo,empty,check,check,empty
126,Brown trout,empty,check,check,check
127,Bucktooth parrotfish,check,empty,empty,check
128,Buffalo trunkfish,check,empty,empty,check
129,Bull shark,check,empty,check,check
130,Bullet mackerel,check,empty,empty,check
131,Bullseye snakehead,empty,check,check,empty
132,Butter hamlet,check,empty,empty,check
133,Butterfish,check,empty,empty,check
134,Caesar grunt,check,empty,empty,check
135,Cardinal soldierfish,check,empty,empty,check
136,Caribbean chestnut moray,check,empty,empty,check
137,Caribbean ocellated moray,check,empty,empty,check
138,Caribbean reef shark,check,empty,empty,check
139,Caribbean sharpnose-puffer,check,empty,empty,check
140,Cero mackerel,check,empty,empty,check
141,Chain dogfish,check,empty,empty,check
142,Chain moray,check,empty,empty,check
143,Chain pickerel,check,empty,check,check
144,Chalk bass,check,empty,empty,check
145,Channel Catfish,check,empty,check,empty
146,Checkered puffer,check,empty,empty,check
147,Cherubfish,check,empty,empty,check
148,chocolate surgeonfish,empty,check,empty,check
149,Choctaw bass,check,empty,check,empty
150,Clearnose skate,check,empty,empty,check
151,Clown featherback,empty,check,check,empty
152,Clown goby,check,empty,empty,check
153,Clown wrasse,check,empty,empty,check
154,Clown wrasse,empty,check,empty,check
155,Coastal shiner,check,empty,check,empty
156,Cobia,check,empty,empty,check
157,Cocoa damselfish,check,empty,empty,check
158,Collared eel,check,empty,empty,check
159,Colon goby,check,empty,empty,check
160,Common carp,empty,check,check,empty
161,Common clownfish,empty,check,empty,check
162,Common lionfish,empty,check,empty,check
163,Common rudd,empty,check,check,empty
164,Common sand diver,check,empty,empty,check
165,Common snook,check,empty,check,check
166,Common thresher,check,empty,empty,check
167,Conchfish,check,empty,empty,check
168,Coney,check,empty,empty,check
169,Convict cichlid,empty,check,check,empty
170,Copper shark,check,empty,empty,check
171,Cottonwick,check,empty,empty,check
172,Cownose ray,check,empty,empty,check
173,Creole wrasse,check,empty,empty,check
174,Creole-fish,check,empty,empty,check
175,Crested goby,check,empty,empty,check
176,Crevalle Jack,check,empty,empty,check
177,Croaking gourami,empty,check,check,empty
178,Cuban gar,empty,check,check,empty
179,Cuban dogfish,check,empty,empty,check
180,Cubbyu,check,empty,empty,check
181,Cubera snapper,check,empty,empty,check
182,Darter goby,check,empty,empty,check
183,Dash goby,check,empty,empty,check
184,Diamond blenny,check,empty,empty,check
185,Diamond killifish,check,empty,empty,check
186,Doctorfish,empty,check,empty,check
187,Doctorfish tang,check,empty,empty,check
188,Dog snapper,check,empty,empty,check
189,Dolphinfish,check,empty,empty,check
190,Drab sole,check,empty,check,check
191,Dusky cardinalfish,check,empty,empty,check
192,Dusky damselfish,check,empty,empty,check
193,Dusky pipefish,check,empty,empty,check
194,Dusky shark,check,empty,empty,check
195,Dusky squirrelfish,check,empty,empty,check
196,Dwarf frogfish,check,empty,empty,check
197,Dwarf goatfish,check,empty,empty,check
198,Dwarf herring,check,empty,empty,check
199,Dwarf rainbowfish,empty,check,check,empty
200,Eastern mosquitofish,check,empty,check,empty
201,Eastern mudminnow,check,empty,check,empty
202,Electric eel,empty,check,check,empty
203,Emperor angelfish,empty,check,empty,check
204,Eyed flounder,check,empty,empty,check
205,False pilchard,check,empty,empty,check
206,Fat sleeper,check,empty,empty,check
